uid,nickname,time,star,comment
-1820996488,邓再鑫鑫鑫,2021-01-05 18:13:39,5,第一次购买这么贵的手机呀，上手效果很好，很有分量，外观也很好看
-1987609592,p***3,2021-01-05 18:11:24,5,外形外观：帅。屏幕音效：真。拍照效果：美。运行速度：快。待机时间：长。
2025212829,王悠扬A,2021-01-05 18:03:04,5,用着还不错，运行速度非常快 就是有时候打电话的时候音质不太好 不知道是不是信号不好的原因
1777431573,tusihark,2021-01-05 17:53:54,5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻&hellip;&hellip;性价比非常高?，可以放心购买?，做工非常精致?，值得购买?！
-361647622,无***界,2021-01-05 17:53:53,5,买个烂苹果送人 结果苹果吃了 人没吃到 血亏
-1091947307,疯***生,2021-01-05 17:45:52,5,屏幕音效：没** 屏幕很完美运行速度：不用专业测试工具 大多数APP运行速度和上一代没什么区别外形外观：手感很好
1249456077,黎明前的琉璃雨,2021-01-05 17:35:55,5,拍照效果：自己不会拍照? 运行速度：快 待机时间：不怎么玩两天一充电
-317177243,Lebron-quan,2021-01-05 17:35:21,5,流畅度：流畅 运行速度：快 屏幕效果：清晰 散热性能：好 散热性。
-1849458439,圣堂鬼影,2021-01-05 17:22:31,5,物流太给力了，非常喜欢这款手机，颜色也很漂亮！京东买东西放心！！为京东点赞！！
1021566321,a***Y,2021-01-05 17:08:52,5,明天在买一个
1236953247,汪汪汪-喵喵喵-汪-喵-,2021-01-05 17:01:36,5,512的没货只好256&hellip;
-190756394,Z***9,2021-01-05 17:01:09,5,手机很漂亮，运行速度比较快。
835684352,果***果,2021-01-05 17:00:15,5,手机很漂亮，运行速度比较快。
-1141365071,丽***五,2021-01-05 16:46:56,5,手机又大又好看，电池也很耐用。
2027005273,7***贵,2021-01-05 16:46:07,5,手机又大又好看，电池也很耐用。
-2095718431,想干嘛a,2021-01-05 16:39:49,5,不错，手机反应速度很快，而且手感非常耐斯，不错，拍照很清楚
-170651092,j***F,2021-01-05 16:39:20,5,果然12不会让我失望，这个石墨色超级好看。
768957846,吴海波0826,2021-01-05 16:38:15,5,发货速度快，质量有保证。送人的，没拆开拍照。
-1224886867,自***6,2021-01-05 16:35:57,5,一直用苹果，第一次在京东买，还挺好的！以后可以一直在京东买了。
425318580,新品上市,2021-01-05 16:35:10,5,真#，给好评
1677211167,j***t,2021-01-05 16:34:34,5,好
2039303079,老王没超跑,2021-01-05 16:29:56,5,???开始收到的时候，外观上网速度没得说，其他软件打开速度很快，拍照效果不错，电池嘛看你怎么用，充电速度还是挺快的，声音效果我本人满意，我本人喜欢苹果手机，再加上有很多东西在苹果手机里面，所以换的还是苹果这款，到目前手机运行不错 ！???
-684526488,c***g,2021-01-05 16:23:53,5,正品,外型很喜欢
-170651092,j***F,2021-01-05 16:22:46,5,松露巧克力批测距女魔图带哈券屠夫冻结了
-170651092,j***F,2021-01-05 16:22:36,5,号xhc guess色散PK算了算了群头哦OK他
-497765545,yc158*****632,2021-01-05 16:19:50,5,一如既往的给力
-427868541,****儿,2021-01-05 16:18:34,5,速度快，服务好，不错，不错！！！
-435055331,jd_138844urp,2021-01-05 16:18:08,5,外形外观：很好！
运行速度：很快啊！
其他特色：苹果怀旧的款型！
拍照效果：拍照效果非常好
31006551,耀颜188,2021-01-05 16:17:01,5,就是挺喜欢的&hellip;&hellip;没有了打游戏还是不错的不错不错。
