uid,nickname,time,star,comment
-527673662,q***4,2021-01-05 10:58:21,5,多次回购了，味道不错，推荐给大家哈！
-94997429,h***3,2021-01-05 10:16:42,5,呵呵^_^，商品这么快就到啦。挺好挺好。多多打折呐。
-1582900932,s***7,2021-01-05 09:56:55,5,性价比高，一直回购款。体验感良好。熟悉的味道，好吃。
-405265370,d***7,2021-01-05 09:16:12,5,乐事薯片超值分享装210g
871394102,大***j,2021-01-05 08:19:38,5,不错
-242348202,宝***你,2021-01-05 08:16:19,5,不错
-169169953,快***子,2021-01-05 08:07:30,5,送货速度快质量好
1833275421,a***0,2021-01-05 07:17:22,5,好吃实惠，不过不能贪吃哦
-1731771945,l***7,2021-01-05 07:00:42,5,可以
264797986,j***5,2021-01-05 02:27:58,5,便很好吃，口感很好。
-788506989,时***r,2021-01-05 00:48:19,5,味道很棒很好吃，值得购买
-637611027,丶***丶,2021-01-04 23:06:04,5,给媳妇买的。
1658294828,惟***丶,2021-01-04 22:22:36,5,好吃就多吃点(??&omega;?)?嘿
226025245,奥***汪,2021-01-04 21:48:49,5,价格实惠 味道很好吃
1348847183,j***天,2021-01-04 21:25:28,5,此用户未填写评价内容
-1401004994,a***u,2021-01-04 21:05:49,5,给员工买的抽奖小礼品，很划算
-1708362357,z***4,2021-01-04 20:39:47,5,价廉物美，快递非常给力。
1699236388,呆***c,2021-01-04 20:24:32,5,好吃
562269800,z***7,2021-01-04 19:58:04,5,很喜欢的品牌，好吃
104535419,g***2,2021-01-04 19:50:02,5,第三次购买。非常好吃的小零食。。正品啊。要是口味可以挑选就好了。
-482476093,h***l,2021-01-04 18:48:09,5,好
139730152,m***m,2021-01-04 18:42:39,5,京东商城购物，质量让人放心。
1818288236,c***9,2021-01-04 17:24:10,5,搞活动买的，价格比较优惠
-1162015508,谁***生,2021-01-04 16:27:31,5,东西非常好，最主要还是京东物流很快，这一点很喜欢
677536289,夏***a,2021-01-04 16:27:04,5,发货速度很快的 买了不少的
714257275,桂***团,2021-01-04 16:17:25,5,看上去还可以，收到货时包装完好，没有破损，发货到收货都很快，生活必备，有需要再光顾，京东物流是一流，售后服务也是一流，宝贝对得起这价格，物有所值吧！一直在京东自营店买需要品，一直信得过京东，正品有保障，售后也有保障，买宝贝上京东???
-1134005440,j***k,2021-01-04 15:36:47,5,此用户未填写评价内容
302760526,j***1,2021-01-04 15:15:07,5,好吃嘎嘣脆！物流也快，味道正宗。希望多做点原味的特价。
1040153727,j***仙,2021-01-04 14:09:29,5,速度很快，好久没有快递员送到家里了，一般都是放在快递柜了，好评
-1741818875,雪***r,2021-01-04 14:04:07,5,里面有三包，活动下来才不到四块钱一包，很适合追剧的时候咔嚓咔嚓的
1037737802,j***v,2021-01-04 07:52:44,5,一如既往的优秀
-1172783917,s***t,2021-01-04 06:35:21,5,很好，值得购买。
428983779,j***m,2021-01-03 22:53:05,5,此用户未填写评价内容
716705012,j***e,2021-01-03 22:22:39,5,几种不同的味道都很好吃，快递包装不错，没有被压碎日期新鲜
22557500,j***_,2021-01-03 22:19:50,5,很划算
-329418086,T***1,2021-01-03 21:09:32,5,京东送的很快，乐事真好吃。以后还要买。好吃好吃。
715307817,梓***6,2021-01-03 20:48:17,5,非常好吃
-1060336957,吹***忆,2021-01-03 19:06:58,5,乐事薯片，不知道吃了多少，大人小孩都喜欢。
-860599620,D***9,2021-01-03 18:17:58,5,好吃呀，还是原来的味道，比桶装的好吃多啦
-1783131033,早***光,2021-01-03 18:11:29,5,好吃，一次买个三包也挺便宜的。
125118882,j***l,2021-01-03 18:03:44,5,美味，价格实惠，晚上下单，第二天中午就送到了！在京东进行购物，就是值得信赖！向大家推荐一下！
-1355391195,a***s,2021-01-03 17:57:17,5,好好好ヾ ^_^?
-2071938345,j***9,2021-01-03 17:24:35,5,此用户未填写评价内容
822705620,冯***2,2021-01-03 15:58:33,5,很不错的，物流快，价格实惠
-558183238,j***8,2021-01-03 14:09:40,5,大品牌值得信赖活动价买的特实惠
750319277,j***d,2021-01-03 13:17:15,5,包装小的 发货很快
-558183238,j***8,2021-01-03 12:38:34,5,乐事薯片好事自然来好好好
1950579542,文***宇,2021-01-03 12:11:30,5,京东自营，五星点赞，很好
-1699264034,辟***棒,2021-01-03 12:05:22,5,送货速度非常快，第一天下单，第二天就送到了，满足了吃货着急的心情，三连包非常划算，吃起来脆脆的香香的，一口接着一口简直停不下来
1169875293,带***6,2021-01-03 11:59:39,5,每次都要卖一点，味道很好
-473548228,5***0,2020-12-18 10:25:39,3,里面的口味一般，但胜在便宜
454504019,j***S,2020-12-09 17:23:32,3,食品本身包装有漏气
1653943494,s***i,2020-12-05 17:36:02,3,凑单买的，性价比一般
1268010632,一***萝,2020-12-02 05:05:11,3,和可比克不一样  这个薯片里面好多小泡   感觉用量不足   味道感觉没有可比克好    下次不会再买
-1728789722,w***a,2020-11-15 19:47:14,3,好碎&hellip;&hellip;&hellip;
942323242,j***7,2020-11-15 13:23:11,2,一包都没气了，还拿出来卖么，薯片都露出来了（快递盒子是完好的）
914049847,鲁***雪,2020-11-14 12:32:00,3,没有外面卖的好吃。
716705012,j***e,2020-11-12 10:21:02,3,一般，袋装，没有筒装好。
942323242,j***7,2020-11-08 14:34:17,3,很实惠
2126758377,优***8,2020-11-08 09:56:24,3,不好吃
2126758377,优***8,2020-11-08 09:55:33,3,感觉这个也不好吃
428983779,j***m,2020-11-07 12:46:41,3,一般吧
227661436,j***f,2020-11-06 20:19:48,2,便宜没好货啊，味道太差了，都太咸了，估计都是卖不出去囤货了才促销的
2081074583,专***猪,2020-11-06 18:05:16,3,好小包，不划算，少有的失手啊
302760526,j***1,2020-10-25 09:06:13,3,一般般吧
2038641795,d***丫,2020-10-25 01:27:32,3,我还没有收到货，我也没有点击确认收货，它就叫我评价了，绝了
716705012,j***e,2020-10-23 22:01:46,3,一般
460322948,j***E,2020-10-23 19:29:05,3,货还没到，不知道。等我收到再评一次。
1872696662,j***9,2020-10-23 17:39:07,3,很好吃，
-435197788,j***y,2020-10-23 14:05:10,3,物流挺快的
264797986,j***5,2020-10-23 12:30:52,3,完全没有包装，直接把商品送来了，真是无语，还好没直接破损。。
-558183238,j***8,2020-10-20 19:48:59,3,就那个黄色的有点儿难吃。
-1433101959,j***b,2020-10-20 19:02:33,2,个人不喜欢吃
-1850537857,j***f,2020-10-18 21:50:46,3,看不起你不来怎么么么啾咪西咪西
-558183238,j***8,2020-10-18 11:46:08,2,为什么薯片漏气了？
227661436,j***f,2020-10-17 17:55:22,3,没收到货可能是快递员搞错地方了
1872696662,j***9,2020-10-17 15:34:58,3,还好吧
-1520907405,j***6,2020-10-15 08:03:13,3,味道过于浓重
-1685244293,Z***W,2020-10-11 13:43:03,3,就那个样吧，还好，跟实体店没啥区别
166777337,x***8,2020-10-08 00:58:26,3,难吃。。。？
341540475,专注专-,2020-07-12 17:25:36,3,东西好，就是派送不能安排同一个快递员吗?
302760526,j***1,2020-07-11 11:58:08,3,买了九包全部产地北京，希望吃了人没事
-770969282,xu-william123456,2020-07-01 17:58:00,3,一包感觉有点漏气了
-595393197,撕***孔,2020-07-01 09:05:55,3,味道不怎么样
-1742019635,jd_173797lmi,2020-06-28 20:24:23,3,上火太油，
-1742019635,jd_173797lmi,2020-06-28 20:18:44,3,上火很油，感觉味道没以前好吃。
2122565962,l***6,2020-06-20 20:48:29,3,总感觉和超市买的味道有点差别，
-1195723016,jd_繁花香,2020-06-19 13:23:10,3,我看搞活动的时候比实体店里面便宜很多，所以下手买了三袋，打开一袋吃的时候发现里边的薯片味道跟实体店有点点区别，好像是烤糊了一点呀。
614106200,Roykingjj,2020-06-15 15:46:28,3,味道就那样吧，不实惠！量少，
-729894714,3***0,2020-06-14 11:20:56,3,几种味道都不怎么样
464843516,j***9,2020-05-03 20:15:43,3,还不错可以接受感觉一般般吧没啥特别的感觉&hellip;&hellip;&hellip;&hellip;
2077375443,你觉得我在意吗,2020-04-29 11:57:02,3,可能放得久，吃起来味道怪怪的不脆口了
-413953405,绿***蛙,2020-04-23 08:02:56,3,感觉口感和平时自己大超市买的口感差的较多，不好吃。没有超市买的口感好，怀疑生产工艺流程不是原厂货。或者是生产后存放时间过长导致。
1221526469,交***咎,2020-04-13 14:43:14,3,有一袋漏气了，内心悲伤。味道不错。
-665567520,冰***努,2020-04-13 06:24:13,3,不是我喜欢的口味
-803141187,jouanlu,2020-04-03 09:14:36,2,我还以为是分享装，好贵
2921595,TMY5,2020-03-29 07:51:52,3,吃起来感觉味道一般化，你吃第1个还好，第2袋你就不太想吃了。感觉怪怪的。
-1950237899,sOJkEosdshDk,2020-03-22 16:29:48,3,此用户未填写评价内容
253481855,jd_136328zacm,2020-03-21 19:27:20,3,有一包憋了漏气
